date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_bigmac,adj_price,USD_adjusted,EUR_adjusted,GBP_adjusted,JPY_adjusted,CNY_adjusted,GDP_dollar,GDP_local
7/1/2022,IDN,IDR,Indonesia,35000,14977.5,2.336838591,-0.54624,-0.50959,-0.47369,-0.17393,-0.34302,9172.246719,3.503319091,-0.41114,-0.43472,-0.37267,0.022,-0.31719,4356.56,62335657.31
7/1/2022,IND,INR,India,191,79.9513,2.388954276,-0.53613,-0.49865,-0.46195,-0.1555,-0.32837,4579.833524,3.423559992,-0.38399,-0.40865,-0.34374,0.06914,-0.2857,2282.97,169854.02
7/1/2022,ISR,ILS,Israel,17,3.43745,4.94552648,-0.0397,0.03787,0.11386,0.74824,0.39038,50313.6669,4.217845957,0.0351,-0.00634,0.10272,0.79649,0.20025,51416.022,166083.949
7/1/2022,JOR,JOD,Jordan,2.3,0.71015,3.238752376,-0.37112,-0.32031,-0.27055,0.1449,-0.08946,7011.581696,3.465793571,-0.17503,-0.20806,-0.12114,0.43179,-0.04342,4416.632,3131.386
7/1/2022,JPN,JPY,Japan,390,137.865,2.828854314,-0.45071,-0.40634,-0.36287,0,-0.2047,57016.00844,4.334249403,-0.42382,-0.44689,-0.38618,0,-0.33189,39339.836,4317717.144
7/1/2022,KOR,KRW,South Korea,4600,1313.45,3.50222696,-0.31996,-0.26502,-0.21121,0.23804,-0.01539,44570.74238,4.118105261,-0.24923,-0.27929,-0.20018,0.30302,-0.12945,34801.086,39810760.18
7/1/2022,KWT,KWD,Kuwait,1.3,0.3074,4.229017567,-0.17883,-0.1125,-0.04752,0.49496,0.18894,34372.32808,3.940983495,-0.05268,-0.09061,0.00921,0.64414,0.09846,28578.756,8676.51
7/1/2022,LKA,LKR,Sri Lanka,1340,360,3.722222222,-0.27724,-0.21885,-0.16166,0.31581,0.04646,2859.060372,3.393674329,-0.03174,-0.0705,0.03152,0.68049,0.12274,3742.678,743910.854
7/1/2022,MDA,MDL,Moldova,60,19.298,3.10913048,-0.39629,-0.34752,-0.29975,0.09908,-0.1259,8024.776007,3.483390303,-0.21205,-0.2436,-0.16057,0.36754,-0.08634,5284.908,93492.536
7/1/2022,MEX,MXN,Mexico,70,20.4125,3.42927128,-0.33412,-0.28033,-0.22764,0.21225,-0.0359,14973.72682,3.604076755,-0.16002,-0.19365,-0.10514,0.45784,-0.02601,10039.576,203526.384
7/1/2022,MYS,MYR,Malaysia,10.9,4.45,2.449438202,-0.52438,-0.48596,-0.44833,-0.13412,-0.31137,22311.91906,3.731523389,-0.42052,-0.44372,-0.38266,0.00574,-0.32806,11399.123,47223.285
7/1/2022,NIC,NIO,Nicaragua,139,35.89,3.87294511,-0.24797,-0.18722,-0.12772,0.36909,0.08884,2839.947641,3.393342387,0.00757,-0.03277,0.07339,0.74871,0.16832,2177.478,76651.014
7/1/2022,NOR,NOK,Norway,62,9.89765,6.264113199,0.21633,0.31459,0.41083,1.21436,0.76109,63567.8547,4.448039111,0.24323,0.19346,0.32445,1.15772,0.44158,89089.978,765282.911
7/1/2022,NZL,NZD,New Zealand,7.1,1.603720632,4.427205,-0.14035,-0.07091,-0.00288,0.56502,0.24466,49644.00673,4.206215581,-0.07082,-0.10802,-0.01012,0.61265,0.07742,48424.147,68441.252
